,ID,Name,Age,Photo,Nationality
5003,199748,J. Knudsen,25,https://cdn.sofifa.org/players/4/19/199748.png,Denmark
5004,203588,Q. Martinus,27,https://cdn.sofifa.org/players/4/19/203588.png,Curacao
5005,207684,G. Gianniotas,25,https://cdn.sofifa.org/players/4/19/207684.png,Greece
5006,229444,F. De Paul,27,https://cdn.sofifa.org/players/4/19/229444.png,Chile
5007,243780,Kangin Lee,17,https://cdn.sofifa.org/players/4/19/243780.png,Korea Republic
5008,214085,N. Carreño,24,https://cdn.sofifa.org/players/4/19/214085.png,Colombia
5009,224325,J. Sánchez,30,https://cdn.sofifa.org/players/4/19/224325.png,Colombia
5010,191814,Lee Jae Sung,29,https://cdn.sofifa.org/players/4/19/191814.png,Korea Republic
5011,202311,Kim Eun Sun,30,https://cdn.sofifa.org/players/4/19/202311.png,Korea Republic
5012,214343,D. Moreno,26,https://cdn.sofifa.org/players/4/19/214343.png,Colombia
5013,20551,A. Isaksson,36,https://cdn.sofifa.org/players/4/19/20551.png,Sweden
5014,237895,V. van Crooij,22,https://cdn.sofifa.org/players/4/19/237895.png,Netherlands
5015,192071,M. D'Alessandro,27,https://cdn.sofifa.org/players/4/19/192071.png,Italy
5016,203848,R. Windbichler,27,https://cdn.sofifa.org/players/4/19/203848.png,Austria
5017,211272,C. Corvalán,29,https://cdn.sofifa.org/players/4/19/211272.png,Argentina
5018,153160,R. Raldes,37,https://cdn.sofifa.org/players/4/19/153160.png,Bolivia
5019,155976,C. Adam,32,https://cdn.sofifa.org/players/4/19/155976.png,Scotland
5020,230472,Renaldo Justinho,34,https://cdn.sofifa.org/players/4/19/230472.png,Brazil
5021,234824,Y. Wissa,21,https://cdn.sofifa.org/players/4/19/234824.png,France
5022,187208,A. Saldívar,28,https://cdn.sofifa.org/players/4/19/187208.png,Mexico
5023,192072,A. Stoian,27,https://cdn.sofifa.org/players/4/19/192072.png,Romania
5024,192329,N. Obiora,26,https://cdn.sofifa.org/players/4/19/192329.png,Nigeria
5025,193097,S. Salger,28,https://cdn.sofifa.org/players/4/19/193097.png,Germany
5026,219466,B. Meling,23,https://cdn.sofifa.org/players/4/19/219466.png,Norway
5027,230474,Macarinho Louro,30,https://cdn.sofifa.org/players/4/19/230474.png,Brazil
5028,170570,S. Ireland,31,https://cdn.sofifa.org/players/4/19/170570.png,Republic of Ireland
5029,171082,S. De Ridder,31,https://cdn.sofifa.org/players/4/19/171082.png,Belgium
5030,177482,M. Coutadeur,32,https://cdn.sofifa.org/players/4/19/177482.png,France
5031,194122,W. Grigg,26,https://cdn.sofifa.org/players/4/19/194122.png,Northern Ireland
5032,182091,K. Barbarouses,28,https://cdn.sofifa.org/players/4/19/182091.png,New Zealand
5033,184139,Ricardo Ferreira,28,https://cdn.sofifa.org/players/4/19/184139.png,Portugal
5034,189003,G. Belaud,31,https://cdn.sofifa.org/players/4/19/189003.png,France
5035,204876,Clerc,26,https://cdn.sofifa.org/players/4/19/204876.png,Spain
5036,213580,L. Mugni,26,https://cdn.sofifa.org/players/4/19/213580.png,Argentina
5037,153164,A. Faurlín,31,https://cdn.sofifa.org/players/4/19/153164.png,Argentina
5038,233292,M. Barbieri,24,https://cdn.sofifa.org/players/4/19/233292.png,Argentina
5039,139597,Javi Guerra,36,https://cdn.sofifa.org/players/4/19/139597.png,Spain
5040,142670,R. Braña,39,https://cdn.sofifa.org/players/4/19/142670.png,Argentina
5041,214862,L. Benegas,29,https://cdn.sofifa.org/players/4/19/214862.png,Argentina
5042,215374,S. Hogan,26,https://cdn.sofifa.org/players/4/19/215374.png,Republic of Ireland
5043,239950,Pêpê,21,https://cdn.sofifa.org/players/4/19/239950.png,Portugal
5044,191566,Park Joo Ho,31,https://cdn.sofifa.org/players/4/19/191566.png,Korea Republic
5045,198223,R. Maiello,26,https://cdn.sofifa.org/players/4/19/198223.png,Italy
5046,213839,B. Guillaume,23,https://cdn.sofifa.org/players/4/19/213839.png,Belgium
5047,236111,Vinicius Trieiro,26,https://cdn.sofifa.org/players/4/19/236111.png,Brazil
5048,171087,Christian Fernández,32,https://cdn.sofifa.org/players/4/19/171087.png,Spain
5049,207440,F. Fragapane,25,https://cdn.sofifa.org/players/4/19/207440.png,Argentina
5050,212048,A. Chipciu,29,https://cdn.sofifa.org/players/4/19/212048.png,Romania
5051,222544,E. Koulouris,22,https://cdn.sofifa.org/players/4/19/222544.png,Greece
5052,230480,Raphael Paneira,30,https://cdn.sofifa.org/players/4/19/230480.png,Brazil
5053,226385,C. Espinoza,23,https://cdn.sofifa.org/players/4/19/226385.png,Argentina
5054,227153,C. Borja,25,https://cdn.sofifa.org/players/4/19/227153.png,Colombia
5055,227921,M. Pouraliganji,26,https://cdn.sofifa.org/players/4/19/227921.png,Iran
5056,236113,Jailson Oliva,26,https://cdn.sofifa.org/players/4/19/236113.png,Brazil
5057,239441,Jordi Mboula,19,https://cdn.sofifa.org/players/4/19/239441.png,Spain
5058,205138,F. Hasani,28,https://cdn.sofifa.org/players/4/19/205138.png,FYR Macedonia
5059,223570,J. Sambia,21,https://cdn.sofifa.org/players/4/19/223570.png,France
5060,225106,Jorge Sáenz,21,https://cdn.sofifa.org/players/4/19/225106.png,Spain
5061,241234,P. Mahlambi,20,https://cdn.sofifa.org/players/4/19/241234.png,South Africa
5062,180818,D. McGoldrick,30,https://cdn.sofifa.org/players/4/19/180818.png,Republic of Ireland
5063,192594,G. Kagelmacher,30,https://cdn.sofifa.org/players/4/19/192594.png,Uruguay
5064,201299,N. Leali,25,https://cdn.sofifa.org/players/4/19/201299.png,Italy
5065,203603,M. Pospíšil,27,https://cdn.sofifa.org/players/4/19/203603.png,Czech Republic
5066,215123,A. Aguerre,27,https://cdn.sofifa.org/players/4/19/215123.png,Argentina
5067,176211,M. Robak,35,https://cdn.sofifa.org/players/4/19/176211.png,Poland
5068,191059,Javi Márquez,32,https://cdn.sofifa.org/players/4/19/191059.png,Spain
5069,196435,C. Ramos,29,https://cdn.sofifa.org/players/4/19/196435.png,Peru
5070,197716,T. Bunbury,28,https://cdn.sofifa.org/players/4/19/197716.png,United States
5071,199508,D. Cvetinović,29,https://cdn.sofifa.org/players/4/19/199508.png,Serbia
5072,219733,L. Ajorque,24,https://cdn.sofifa.org/players/4/19/219733.png,France
5073,233301,R. Nissen Kristensen,20,https://cdn.sofifa.org/players/4/19/233301.png,Denmark
5074,186453,T. Hiariej,29,https://cdn.sofifa.org/players/4/19/186453.png,Netherlands
5075,139862,J. Marveaux,35,https://cdn.sofifa.org/players/4/19/139862.png,France
5076,205654,M. Kone,28,https://cdn.sofifa.org/players/4/19/205654.png,Ivory Coast
5077,208470,F. Holland,27,https://cdn.sofifa.org/players/4/19/208470.png,Germany
5078,213846,C. Suárez,31,https://cdn.sofifa.org/players/4/19/213846.png,Chile
5079,163670,B. Safari,33,https://cdn.sofifa.org/players/4/19/163670.png,Sweden
5080,235863,M. Varnier,20,https://cdn.sofifa.org/players/4/19/235863.png,Italy
5081,201304,B. Kadrii,26,https://cdn.sofifa.org/players/4/19/201304.png,Denmark
5082,207448,J. Paredes,30,https://cdn.sofifa.org/players/4/19/207448.png,Ecuador
5083,207960,Aitor García,24,https://cdn.sofifa.org/players/4/19/207960.png,Spain
5084,216408,L. Spalvis,23,https://cdn.sofifa.org/players/4/19/216408.png,Lithuania
5085,157528,M. Stoppelkamp,31,https://cdn.sofifa.org/players/4/19/157528.png,Germany
5086,241240,T. Itō,21,https://cdn.sofifa.org/players/4/19/241240.png,Japan
5087,178264,Nenê,34,https://cdn.sofifa.org/players/4/19/178264.png,Brazil
5088,183640,C. Strohdiek,30,https://cdn.sofifa.org/players/4/19/183640.png,Germany
5089,204121,J. Brabec,25,https://cdn.sofifa.org/players/4/19/204121.png,Czech Republic
5090,210521,S. Çikalleshi,27,https://cdn.sofifa.org/players/4/19/210521.png,Albania
5091,211033,L. García,25,https://cdn.sofifa.org/players/4/19/211033.png,Mexico
5092,148569,M. Wasilewski,38,https://cdn.sofifa.org/players/4/19/148569.png,Poland
5093,222553,S. Griesbeck,27,https://cdn.sofifa.org/players/4/19/222553.png,Germany
5094,229209,J. Benítez,26,https://cdn.sofifa.org/players/4/19/229209.png,Argentina
5095,230489,Diogildo Peixe,30,https://cdn.sofifa.org/players/4/19/230489.png,Brazil
5096,215130,N. Ibáñez,36,https://cdn.sofifa.org/players/4/19/215130.png,Argentina
5097,146011,I. Uche,34,https://cdn.sofifa.org/players/4/19/146011.png,Nigeria
